Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00773001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
773001;1;01/06/2012;1;;;;;0;0;0;;0;20,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;42,5;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
773001;1;01/05/2012;1;30,0;137,2;22;12;1;1;1;;0;7,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,4;0,0;0,0;7,0;20,0;5,0;4,5;10,0;0,0;30,0;9,0;10,0;20,0;0,0;0,0;0,0;0,0;0,0;10,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/04/2012;1;41,9;184,8;10;15;1;1;1;;0;1,3;1,2;0,0;8,0;0,0;0,0;0,0;32,2;0,0;41,9;25,0;10,0;10,0;0,0;10,0;4,2;0,0;0,0;0,0;10,0;0,0;10,0;0,3;10,0;10,7;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/03/2012;1;30,0;222,1;3;22;1;1;1;;0;10,0;12,5;30,0;2,0;20,0;10,0;1,0;0,9;2,0;1,0;0,7;20,0;0,0;13,5;30,0;20,0;0,0;0,0;0,0;20,0;10,0;0,0;0,0;10,0;0,5;0,0;1,4;5,1;0,0;0,0;1,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/02/2012;1;36,0;217,1;18;18;1;1;1;;0;20,0;20,0;0,0;5,0;5,0;0,0;12,5;0,0;0,0;1,0;31,0;0,0;1,0;6,0;5,6;2,0;25,0;36,0;1,0;10,0;0,0;6,0;0,0;0,0;0,0;20,0;10,0;0,0;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
773001;1;01/01/2012;1;19,5;77,9;15;17;1;1;1;;0;10,0;0,0;9,0;5,0;0,4;6,5;1,0;0,0;0,0;0,5;0,0;0,0;17,5;0,0;19,5;0,3;0,0;0,0;0,7;0,0;0,0;0,5;1,0;0,0;0,0;1,0;0,0;2,0;0,0;1,0;2,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/12/2011;1;10,0;115,2;3;21;1;1;1;;0;0,0;0,0;10,0;2,0;0,0;0,0;1,0;10,0;7,1;10,0;0,0;9,2;2,0;8,0;5,0;10,0;2,9;9,0;4,3;2,0;1,0;0,0;10,0;0,0;0,0;0,9;0,2;0,6;0,0;10,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/11/2011;1;20,0;86,0;21;13;1;1;1;;0;0,0;0,0;0,5;0,0;1,0;0,0;17,0;0,2;0,0;0,0;0,0;12,5;0,0;0,0;0,0;2,5;0,0;0,0;10,0;10,0;20,0;0,5;10,0;0,8;0,0;0,0;0,0;1,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/10/2011;1;50,0;246,0;23;17;1;1;1;;0;0,0;2,5;0,9;0,0;0,0;40,7;15,0;0,0;0,0;40,0;0,0;0,9;10,0;0,0;40,0;0,9;0,0;12,5;0,0;0,9;1,0;20,0;50,0;10,0;0,0;0,0;0,5;0,0;0,0;0,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/09/2011;1;40,8;139,6;19;12;1;1;1;;0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;1,0;0,8;0,0;0,0;0,0;2,0;0,0;0,0;40,8;0,0;15,0;0,9;31,0;0,0;0,0;3,0;0,0;0,0;40,6;2,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
